樹木ID,樹高(ｍ),樹冠直径(ｍ),樹冠体積(ｍ3),胸高直径(cm),樹種,経度,緯度,標高
1,23.199999999999999,10.070000000000000,910.446000000000026,35,A,139.536477258000104,35.790489058000048,7.770000000004075
2,20.500000000000000,0.578,1.002000000000000,29,A,139.536669461000088,35.790448070000025,3.190000000002328
3,17.800000000000001,1.106000000000000,4.309000000000000,27,A,139.536712910000119,35.790485313000033,3.550000000002910
4,22.100000000000001,7.400000000000000,441.310999999999979,41,A,139.536783358000093,35.790491345000078,2.190000000002328
5,18.500000000000000,4.568000000000000,93.561000000000007,40,A,139.537075206000054,35.790428700000064,9.169999999998254
6,23.899999999999999,5.860000000000000,390.346999999999980,31,A,139.536497700000041,35.790346785000054,3.429999999993015
7,23.000000000000000,8.045999999999999,649.057999999999993,28,A,139.536423491000050,35.790400322000039,5.580000000001746
8,23.600000000000001,6.967000000000000,398.370999999999981,27,A,139.536393254000018,35.790320748000056,1.289999999993597
9,22.399999999999999,8.948000000000000,789.078999999999951,45,A,139.536985699000070,35.790282190000028,3.880000000004657
10,20.699999999999999,4.531000000000000,212.933999999999997,42,A,139.536874431000115,35.790335456000037,8.000000000000000
11,19.899999999999999,6.263000000000000,308.449999999999989,36,A,139.537011871000118,35.790294693000078,2.039999999993597
12,22.199999999999999,4.597000000000000,189.376000000000005,34,A,139.537157477000051,35.790378877000080,8.850000000005821
13,22.699999999999999,9.609000000000000,801.798999999999978,41,A,139.537117648000049,35.790379771000062,8.339999999996508
14,19.100000000000001,1.624000000000000,12.350000000000000,19,A,139.537078947000055,35.790374718000066,2.529999999998836
15,22.600000000000001,7.870000000000000,446.574000000000012,37,A,139.537331771000026,35.790334239000060,3.449999999997090
16,19.800000000000001,3.464000000000000,52.271000000000001,48,A,139.537248495000085,35.790327003000073,6.929999999993015
17,23.800000000000001,17.856000000000002,4402.762999999999920,47,A,139.537194843000066,35.790326330000028,4.860000000000582
18,21.500000000000000,4.794000000000000,174.995000000000005,15,A,139.537311437000085,35.790388180000036,1.800000000002910
19,22.899999999999999,8.071999999999999,892.254999999999995,35,A,139.537439811000013,35.790316207000046,8.490000000005239
20,22.500000000000000,5.309000000000000,286.502999999999986,34,A,139.537467477000064,35.790283737000038,2.839999999996508
21,20.899999999999999,2.009000000000000,21.757999999999999,36,A,139.537375067000085,35.790293514000041,3.750000000000000
22,22.100000000000001,5.502000000000000,282.379999999999995,19,A,139.537364171000036,35.790367849000063,4.589999999996508
23,24.699999999999999,9.307000000000000,957.431000000000040,42,A,139.536488239000050,35.790154142000063,8.360000000000582
24,24.199999999999999,6.638000000000000,439.338999999999999,38,A,139.536420376000024,35.790167135000047,4.419999999998254
25,24.300000000000001,11.275000000000000,1665.817000000000007,21,A,139.536670911000101,35.790206691000037,1.059999999997672
26,24.199999999999999,9.476000000000001,909.798999999999978,41,A,139.536581412000032,35.790236756000070,7.389999999999418
27,22.300000000000001,13.140000000000001,2018.075000000000045,37,A,139.536823798000114,35.790147219000062,6.360000000000582
28,24.199999999999999,8.894000000000000,885.780999999999949,44,A,139.536710490000019,35.790243474000079,7.309999999997672
29,12.500000000000000,0.4,0.276,23,A,139.536792158000026,35.790177336000056,1.059999999997672
30,21.600000000000001,12.531000000000001,1490.662000000000035,23,A,139.537019477000058,35.790212688000054,1.550000000002910
31,21.800000000000001,8.583000000000000,605.850000000000023,36,A,139.536993291000044,35.790174136000076,6.320000000006985
32,20.699999999999999,7.876000000000000,646.731999999999971,26,A,139.536940010000080,35.790252242000065,1.559999999997672
33,21.199999999999999,6.397000000000000,276.423999999999978,21,A,139.536875880000025,35.790242981000063,1.570000000006985
34,21.199999999999999,7.667000000000000,502.596000000000004,20,A,139.536914740000043,35.790235144000064,1.070000000006985
35,18.399999999999999,3.359000000000000,39.743000000000002,32,A,139.537113815000112,35.790160552000032,7.149999999994179
36,19.600000000000001,1.398000000000000,6.017000000000000,26,A,139.537031788000036,35.790234171000066,4.070000000006985
37,11.400000000000000,0.94,2.042000000000000,22,A,139.537031991000049,35.790149444000065,2.410000000003492
38,21.800000000000001,5.726000000000000,343.261000000000024,29,A,139.537312352000072,35.790260551000074,4.820000000006985
39,22.800000000000001,17.672000000000001,4398.949999999999818,35,A,139.537516817000096,35.790164519000029,4.179999999993015
40,23.100000000000001,4.826000000000000,244.378999999999991,28,A,139.537466632000019,35.790273008000042,4.110000000000582
41,21.899999999999999,5.167000000000000,248.574000000000012,41,A,139.537430891000099,35.790275264000059,5.130000000004657
42,15.000000000000000,0.617,1.138000000000000,50,A,139.536582454000040,35.790075687000069,5.259999999994761
43,19.699999999999999,4.161000000000000,98.882000000000005,55,A,139.536557568000035,35.790133763000028,9.529999999998836
44,25.199999999999999,8.106999999999999,785.929999999999950,36,A,139.536590516000047,35.790108967000037,5.029999999998836
45,24.600000000000001,12.568000000000000,1865.737000000000080,48,A,139.536809356000049,35.790014775000031,6.740000000005239
46,19.300000000000001,2.448000000000000,22.204999999999998,24,A,139.536768824000092,35.790026212000043,5.990000000005239
47,18.199999999999999,0.764,2.090000000000000,19,A,139.536891048000030,35.790061215000037,1.820000000006985
48,19.399999999999999,5.173000000000000,144.938999999999993,49,A,139.537177645000043,35.790011896000067,4.139999999999418
49,19.000000000000000,1.851000000000000,13.702000000000000,50,A,139.537091022000027,35.790042239000059,6.690000000002328
50,21.100000000000001,4.929000000000000,203.467000000000013,15,A,139.537128414000108,35.790101820000075,4.399999999994179
51,21.800000000000001,6.575000000000000,475.663000000000011,51,A,139.537513693000051,35.790081947000033,1.850000000005821
52,19.699999999999999,3.401000000000000,87.954999999999998,53,A,139.537413277000041,35.790102702000070,2.559999999997672
53,17.000000000000000,3.649000000000000,92.179000000000002,24,A,139.537624813000093,35.790038686000059,1.649999999994179
54,11.199999999999999,1.200000000000000,2.172000000000000,27,A,139.536561361000054,35.789946742000041,0.84
55,23.199999999999999,12.712999999999999,1716.256000000000085,24,A,139.536815576000095,35.789918616000080,2.380000000004657
56,16.199999999999999,1.874000000000000,6.668000000000000,30,A,139.536737958000117,35.789966827000057,3.479999999995925
57,19.199999999999999,4.046000000000000,65.974000000000004,21,A,139.536728386000050,35.789922817000047,5.380000000004657
58,22.699999999999999,11.526000000000000,1746.977000000000089,57,A,139.536962078000101,35.789999648000048,6.389999999999418
